L(T-168),L(T)
6614.7678,5377.86
6632.694,5516.90496
6184.07136,6005.74464
6075.57888,5935.9104
5967.0864,6040.66176
6127.95456,6073.24068
7441.08768,6018.5268
8115.8922,5658.444
7390.2708,5220.10944
6546.96,4723.63164
6677.43156,4643.97696
6422.56776,4773.51324
5518.152,4678.89408
5534.36352,4720.66992
5220.10944,4740.46668
4905.85536,5012.3214
4958.23104,5084.18208
5150.2752,5067.34704
5335.14888,5134.6872
6116.7312,5016.84192
5854.38516,5097.276
6320.62224,4553.56656
6422.56776,4561.0488
5161.1868,4571.181
5246.9208,4678.7382
6241.4352,4804.2216
5831.00316,5447.07072
5658.444,5530.93416
5692.7376,5865.60852
5812.7652,5579.88048
6500.81952,5575.0482
7442.02296,5270.3028
7353.639,4888.3968
6972.98004,4286.7
6540.41304,4012.3512
5656.57344,4312.26432
5743.86624,4417.01568
4870.93824,4556.68416
4731.26976,4783.64544
4597.36884,5062.9824
4456.45332,5132.81664
4791.12768,5202.65088
5178.64536,5235.69744
5827.88556,5318.15796
5199.22152,5233.20336
6439.55868,4944.35772
6550.0776,4842.4122
6430.05,4638.52116
6371.595,4672.503
6235.66764,4281.71184
5847.0588,5691.9582
5607.0036,6235.66764
5589.8568,6021.33264
5761.3248,6211.66212
7201.656,5865.60852
7102.20456,5604.19776
7287.39,5231.48868
7232.52024,4914.42876
6567.2244,4843.971
5952.12192,4703.05548
5363.8308,4691.36448
5324.8608,4709.1348
4967.27208,4655.82384
4932.0432,5348.86632
4797.9864,5267.1852
5011.23024,5046.30324
5294.62008,5590.01268
5935.9104,5539.03992
6378.6096,6694.42248
6395.7564,5318.15796
5287.4496,5335.14888
5832.71784,5250.19428
5270.61456,5246.9208
5097.276,5332.6548
7630.48188,6327.1692
7153.17732,6388.58592
6626.4588,6541.5042
7493.1516,6388.58592
7047.3348,6286.6404
6073.24068,5727.0312
5727.18708,5454.08532
5484.94956,5115.35808
5412.1536,4940.77248
5307.40224,4958.23104
5255.02656,5010.60672
5272.48512,5028.06528
5246.9208,5167.73376
5437.0944,5369.13072
5673.40848,5386.12164
5687.59356,5335.14888
5821.02684,5454.55296
5799.67128,5437.71792
5606.06832,5538.72816
5808.0888,5252.53248
5454.55296,5303.0376
5454.08532,5218.8624
5415.73884,5352.1398
5571.46296,5505.05808
6505.80768,6541.5042
6881.3226,7238.13192
7102.20456,7255.12284
7013.0412,7133.0688
6841.5732,6610.55904
6310.0224,5915.646
5589.8568,5879.7936
5315.508,5270.3028
5156.19864,5324.0814
4923.31392,5207.63904
5150.2752,5388.45984
5132.81664,5726.71944
5303.0376,5872.62312
6077.44944,6930.4248
5959.60416,6060.6144
6021.17676,5622.90336
5954.46012,5912.84016
5148.24876,6127.95456
5301.16704,5114.26692
5301.16704,5012.3214
4585.2102,4852.5444
4886.838,4774.44852
4818.2508,4876.39404
4886.838,4831.65648
7000.25904,7747.85952
7204.15008,7934.75964
7081.6284,7968.74148
7102.20456,7068.22272
7051.2318,6817.25592
5878.85832,6529.50144
5335.14888,5988.28608
5394.69504,5534.36352
5185.19232,5202.65088
4983.17184,5115.35808
4152.6432,5188.93344
4663.9296,5331.096
4848.49152,6095.21976
5824.92384,7000.25904
6048.76752,6666.67584
6207.1416,6161.62464
5551.82208,5740.74864
5980.80384,6666.67584
5720.95188,7374.05928
5622.90336,6694.42248
5707.07856,6350.08356
5929.83108,6515.784
5810.89464,6498.6372
6224.2884,6652.9584
5932.7928,8080.35156
7218.8028,8755.15608
6765.34788,8504.8128
6869.16396,8305.2864
6350.08356,7000.88256
6021.33264,6791.37984
5604.19776,6442.20864
5429.61216,5548.5486
5202.65088,5460.4764
4896.81432,5604.19776
4703.05548,5689.46412
4888.3968,5953.68072
5366.9484,6217.89732
5946.822,6961.6008
6087.114,7153.17732
6177.05676,6303.63132
5946.822,6235.66764
5774.41872,5727.0312
5131.25784,5709.8844
4989.7188,5674.96728
5115.35808,5759.92188
5234.4504,5298.3612
5377.86,5418.3888
5516.90496,7204.15008
6005.74464,8436.2256
5935.9104,8487.666
6040.66176,8470.5192
6073.24068,8121.65976
6018.5268,7255.12284
5658.444,7887.528
5220.10944,5864.2056
4723.63164,5761.79244
4643.97696,5636.6208
4773.51324,5442.86196
4678.89408,5384.40696
4720.66992,5846.43528
4740.46668,6004.02996
5012.3214,6817.25592
5084.18208,7161.43896
5067.34704,6412.9032
5134.6872,6550.0776
5016.84192,5281.2144
5097.276,5212.6272
4553.56656,5052.38256
4561.0488,4827.44772
4571.181,4783.9572
4678.7382,4852.5444
4804.2216,4869.6912
5447.07072,7956.1152
5530.93416,7730.8686
5865.60852,7713.87768
5579.88048,7543.96848
5575.0482,6869.16396
5270.3028,5900.8374
4888.3968,5178.64536
4286.7,5011.23024
4012.3512,4993.45992
4312.26432,4904.60832
4417.01568,4797.9864
4556.68416,5029.00056
4783.64544,5722.04304
5062.9824,7125.89832
5132.81664,6966.2772
5202.65088,6035.6736
5235.69744,6035.6736
5318.15796,3926.6172
5233.20336,5058.306
4944.35772,4921.1316
4842.4122,4663.9296
4638.52116,4475.3148
4672.503,4698.2232
4281.71184,4766.8104
5691.9582,7577.95032
6235.66764,7459.01388
6021.33264,7357.06836
6211.66212,7197.91488
5865.60852,6038.63532
5604.19776,5425.24752
5231.48868,5178.64536
4914.42876,4691.36448
4843.971,4579.7544
4703.05548,4602.51288
4691.36448,4638.05352
4709.1348,5045.52384
4655.82384,5502.25224
5348.86632,7699.6926
